iter	Passed	Remaining
0	0	789
1	1	684
2	2	682
3	2	651
4	3	647
5	3	637
6	4	631
7	5	624
8	5	624
9	6	618
10	6	618
11	7	617
12	8	627
13	8	621
14	9	617
15	9	613
16	10	613
17	11	611
18	11	604
19	12	604
20	12	604
21	13	604
22	14	604
23	14	602
24	15	602
25	16	602
26	16	600
27	17	597
28	17	594
29	18	591
30	18	589
31	19	587
32	19	586
33	20	586
34	21	587
35	21	587
36	22	587
37	23	586
38	23	585
39	24	586
40	25	585
41	25	584
42	26	586
43	27	588
44	27	588
45	28	590
46	29	591
47	29	592
48	30	593
49	31	595
50	32	596
51	32	598
52	33	598
53	34	598
54	34	597
55	35	597
56	36	599
57	36	598
58	37	599
59	38	600
60	38	599
61	39	599
62	40	599
63	40	598
64	41	597
65	42	596
66	42	594
67	43	593
68	43	591
69	44	590
70	44	588
71	45	587
72	46	586
73	46	585
74	47	583
75	47	582
76	48	581
77	49	580
78	49	578
79	50	577
80	50	576
81	51	575
82	51	573
83	52	572
84	53	573
85	53	573
86	54	572
87	55	571
88	55	570
89	56	569
90	56	568
91	57	566
92	58	565
93	58	564
94	59	563
95	59	562
96	60	561
97	60	560
98	61	558
99	61	557
100	62	557
101	63	556
102	63	556
103	64	555
104	65	559
105	66	559
106	67	560
107	67	560
108	68	559
109	69	559
110	69	559
111	70	560
112	71	560
113	71	559
114	72	558
115	73	557
116	73	555
117	74	553
118	74	552
119	75	551
120	75	550
121	76	548
122	76	547
123	77	546
124	77	544
125	78	543
126	78	541
127	79	541
128	80	543
129	81	542
130	82	544
131	82	543
132	83	542
133	83	542
134	84	541
135	84	539
136	85	538
137	86	537
138	86	536
139	87	534
140	87	533
141	87	531
142	88	530
143	89	529
144	89	528
145	90	527
146	90	526
147	91	524
148	91	523
149	92	522
150	92	521
151	93	520
152	93	519
153	94	518
154	95	518
155	95	518
156	96	518
157	97	518
158	97	517
159	98	517
160	98	515
161	99	514
162	99	513
163	100	512
164	101	511
165	101	510
166	102	509
167	102	508
168	103	507
169	103	506
170	104	505
171	104	504
172	105	503
173	105	503
174	106	502
175	107	501
176	107	500
177	108	499
178	108	498
179	109	500
180	110	499
181	111	498
182	111	498
183	112	497
184	112	496
185	113	495
186	113	494
187	114	494
188	114	493
189	115	492
190	115	491
191	116	490
192	117	489
193	117	488
194	118	487
195	118	486
196	119	485
197	119	484
198	120	483
199	120	482
200	121	481
201	121	480
202	122	480
203	122	479
204	123	478
205	123	477
206	124	477
207	125	477
208	126	477
209	126	477
210	127	477
211	128	477
212	129	477
213	129	476
214	130	476
215	131	475
216	131	474
217	132	473
218	132	472
219	133	472
220	133	471
221	134	470
222	134	469
223	135	468
224	135	467
225	136	466
226	137	466
227	137	465
228	138	465
229	138	464
230	139	464
231	140	463
232	140	463
233	141	463
234	142	462
235	143	463
236	144	463
237	144	463
238	145	463
239	146	463
240	146	462
241	147	463
242	148	462
243	149	462
244	149	461
245	150	461
246	151	460
247	151	459
248	152	459
249	153	459
250	153	459
251	154	459
252	155	458
253	155	457
254	156	457
255	157	456
256	157	456
257	158	456
258	159	456
259	160	455
260	160	455
261	161	454
262	162	454
263	162	453
264	163	452
265	163	451
266	164	451
267	164	450
268	165	449
269	166	448
270	166	448
271	167	448
272	168	447
273	168	447
274	169	446
275	170	446
276	170	446
277	171	445
278	172	444
279	172	444
280	173	443
281	174	443
282	174	443
283	175	442
284	176	441
285	176	441
286	177	440
287	177	439
288	178	438
289	178	437
290	179	437
291	179	436
292	180	435
293	181	434
294	181	434
295	182	433
296	182	432
297	183	432
298	183	431
299	184	430
300	185	429
301	185	428
302	186	428
303	186	427
304	187	426
305	187	425
306	188	425
307	189	424
308	189	424
309	190	423
310	190	422
311	191	421
312	191	420
313	192	420
314	192	419
315	193	418
316	193	417
317	194	416
318	194	416
319	195	415
320	195	414
321	196	413
322	197	413
323	197	412
324	198	412
325	199	411
326	199	410
327	200	410
328	200	409
329	201	408
330	201	407
331	202	407
332	202	406
333	203	405
334	204	405
335	204	404
336	205	404
337	205	403
338	206	402
339	206	401
340	207	401
341	208	400
342	208	399
343	208	398
344	209	397
345	209	396
346	210	396
347	211	395
348	211	395
349	212	394
350	212	393
351	213	392
352	213	392
353	214	391
354	215	390
355	215	389
356	216	389
357	216	388
358	217	387
359	217	386
360	218	386
361	218	385
362	219	385
363	220	384
364	220	384
365	221	383
366	221	382
367	222	382
368	223	381
369	223	380
370	224	379
371	224	379
372	225	378
373	225	377
374	226	377
375	226	376
376	227	375
377	227	375
378	228	374
379	229	373
380	229	373
381	230	372
382	230	371
383	231	370
384	231	370
385	232	369
386	232	368
387	233	368
388	233	367
389	234	366
390	235	366
391	235	365
392	236	364
393	236	364
394	237	363
395	237	362
396	238	362
397	238	361
398	239	360
399	240	360
400	240	359
401	241	358
402	241	357
403	242	357
404	242	356
405	243	355
406	243	355
407	244	354
408	244	353
409	245	353
410	245	352
411	246	351
412	246	350
413	247	350
414	247	349
415	248	348
416	249	348
417	249	347
418	250	347
419	250	346
420	251	345
421	251	345
422	252	344
423	253	343
424	253	342
425	254	342
426	254	341
427	255	341
428	255	340
429	256	340
430	257	339
431	257	338
432	258	338
433	258	337
434	259	337
435	260	336
436	260	335
437	261	335
438	261	334
439	262	333
440	262	332
441	263	332
442	263	331
443	264	330
444	264	330
445	265	329
446	266	329
447	266	328
448	267	328
449	267	327
450	268	326
451	268	326
452	269	325
453	269	324
454	270	323
455	270	323
456	271	322
457	272	321
458	272	321
459	273	320
460	273	320
461	274	319
462	274	318
463	275	318
464	275	317
465	276	316
466	276	316
467	277	315
468	277	314
469	278	314
470	278	313
471	279	312
472	280	312
473	280	311
474	281	310
475	282	310
476	282	309
477	283	309
478	283	308
479	284	308
480	285	307
481	285	306
482	286	306
483	286	305
484	287	305
485	287	304
486	288	303
487	288	303
488	289	302
489	289	301
490	290	301
491	291	300
492	291	299
493	292	299
494	292	298
495	293	297
496	293	297
497	294	296
498	294	296
499	295	295
500	296	295
501	297	294
502	297	294
503	298	293
504	298	292
505	299	292
506	299	291
507	300	290
508	300	290
509	301	289
510	301	288
511	302	288
512	303	287
513	303	287
514	304	286
515	304	285
516	305	285
517	305	284
518	306	283
519	306	283
520	307	282
521	307	282
522	308	281
523	309	280
524	309	280
525	310	279
526	311	279
527	312	279
528	313	278
529	313	278
530	314	277
531	314	276
532	315	276
533	315	275
534	316	275
535	317	274
536	317	273
537	318	273
538	318	272
539	319	271
540	319	271
541	320	270
542	320	269
543	321	269
544	321	268
545	322	267
546	322	267
547	323	266
548	323	266
549	324	265
550	325	264
551	325	264
552	326	263
553	327	263
554	327	262
555	328	262
556	328	261
557	329	260
558	329	260
559	330	259
560	331	259
561	331	258
562	332	257
563	332	257
564	333	256
565	333	255
566	334	255
567	334	254
568	335	253
569	335	253
570	336	252
571	336	251
572	337	251
573	337	250
574	338	250
575	338	249
576	339	248
577	340	248
578	340	247
579	341	247
580	342	246
581	342	246
582	343	245
583	343	244
584	344	244
585	344	243
586	345	243
587	345	242
588	346	241
589	346	241
590	347	240
591	348	239
592	348	239
593	349	238
594	349	238
595	350	237
596	350	236
597	351	236
598	351	235
599	352	234
600	352	234
601	353	233
602	354	233
603	354	232
604	355	232
605	356	231
606	356	230
607	357	230
608	357	229
609	358	229
610	358	228
611	359	227
612	359	227
613	360	226
614	361	226
615	361	225
616	362	224
617	362	224
618	363	223
619	363	222
620	364	222
621	364	221
622	365	221
623	365	220
624	366	219
625	366	219
626	367	218
627	368	218
628	368	217
629	369	216
630	370	216
631	370	215
632	371	215
633	371	214
634	372	214
635	373	213
636	373	212
637	374	212
638	374	211
639	375	211
640	375	210
641	376	209
642	376	209
643	377	208
644	378	208
645	378	207
646	379	206
647	379	206
648	380	205
649	380	205
650	381	204
651	382	203
652	382	203
653	383	202
654	383	202
655	384	201
656	385	201
657	385	200
658	386	199
659	386	199
660	387	198
661	388	198
662	388	197
663	389	196
664	389	196
665	390	195
666	390	195
667	391	194
668	391	193
669	392	193
670	392	192
671	393	192
672	393	191
673	394	190
674	395	190
675	395	189
676	396	188
677	396	188
678	397	187
679	397	187
680	398	186
681	398	185
682	399	185
683	399	184
684	400	184
685	400	183
686	401	182
687	402	182
688	402	181
689	403	181
690	404	180
691	404	180
692	405	179
693	405	178
694	406	178
695	406	177
696	407	177
697	407	176
698	408	175
699	408	175
700	409	174
701	409	174
702	410	173
703	411	172
704	411	172
705	412	171
706	413	171
707	413	170
708	414	170
709	414	169
710	415	168
711	415	168
712	416	167
713	417	167
714	417	166
715	418	166
716	419	165
717	419	164
718	420	164
719	420	163
720	421	163
721	421	162
722	422	161
723	423	161
724	423	160
725	424	160
726	424	159
727	425	158
728	425	158
729	426	157
730	426	157
731	427	156
732	427	155
733	428	155
734	428	154
735	429	154
736	429	153
737	430	152
738	431	152
739	431	151
740	432	151
741	432	150
742	433	149
743	434	149
744	434	148
745	435	148
746	435	147
747	436	146
748	436	146
749	437	145
750	437	145
751	438	144
752	438	143
753	439	143
754	440	142
755	440	142
756	441	141
757	442	141
758	442	140
759	443	139
760	443	139
761	444	138
762	444	138
763	445	137
764	445	136
765	446	136
766	446	135
767	447	135
768	447	134
769	448	134
770	449	133
771	450	132
772	450	132
773	451	131
774	451	131
775	452	130
776	452	129
777	453	129
778	453	128
779	454	128
780	454	127
781	455	126
782	456	126
783	456	125
784	457	125
785	457	124
786	458	124
787	458	123
788	459	122
789	459	122
790	460	121
791	461	121
792	461	120
793	462	119
794	462	119
795	463	118
796	463	118
797	464	117
798	465	116
799	465	116
800	466	115
801	466	115
802	467	114
803	467	114
804	468	113
805	468	112
806	469	112
807	469	111
808	470	111
809	471	110
810	471	109
811	472	109
812	472	108
813	473	108
814	474	107
815	474	107
816	475	106
817	475	105
818	476	105
819	476	104
820	477	104
821	478	103
822	478	103
823	479	102
824	480	101
825	480	101
826	481	100
827	481	100
828	482	99
829	483	98
830	483	98
831	484	97
832	484	97
833	485	96
834	486	96
835	486	95
836	487	94
837	487	94
838	488	93
839	488	93
840	489	92
841	489	91
842	490	91
843	490	90
844	491	90
845	492	89
846	492	88
847	493	88
848	494	87
849	494	87
850	495	86
851	496	86
852	496	85
853	497	84
854	497	84
855	498	83
856	498	83
857	499	82
858	499	82
859	500	81
860	501	80
861	501	80
862	502	79
863	502	79
